,team,stationID,isclosable,altitude
0,angels,KSLI,False,160
1,astros,KEFD,True,38
2,athletics,KOAK,False,42
3,blue_jays,KYYZ,True,247
4,braves,KATL,False,1050
5,brewers,KMKE,True,593
6,cardinals,KCPS,False,455
7,cubs,KORD,False,596
8,d-backs,KPHX,True,1082
9,dodgers,KCQT,False,267
10,giants,KSFO,False,63
11,indians,KBKL,False,582
12,mariners,KBFI,True,10
13,marlins,KMIA,True,15
14,mets,KLGA,False,54
15,nationals,KDCA,False,25
16,orioles,KBWI,False,130
17,padres,KSAN,False,13
18,phillies,KPHL,False,9
19,pirates,KPIT,False,743
20,rangers,KDAL,False,616
21,rays,KSPG,True,44
22,red_sox,KBOS,False,20
23,reds,KLUK,False,683
24,rockies,KDEN,False,5183
25,royals,KMKC,False,750
26,tigers,KDET,False,596
27,twins,KMSP,False,812
28,white_sox,KMDW,False,596
29,yankees,KNYC,False,54
